id,city,state,country,iso3,continent,lat,lon,gmp,population_city,population_country,traffic_mortality,literacy_rate,avg_height,med_age,gini,traffic_index,videos,time_of_day,start_time,end_time,vehicle_type,upload_date,fps_list,channel
2370,Beaune,,France,FRA,Europe,47.0239064,4.8380426,0,24162,67391582,5.1,0,172,42.4,32.4,0,[wzEmVmoDkHI],"[[0,0]]","[[210,597]]","[[564,761]]",[0],[13082023],[30],[UCybykuc_xad-k0LMP6cY50g]
2371,Nuits-Saint-Georges,,France,FRA,Europe,47.1367598,4.9489061,0,5300,67391582,5.1,0,172,42.4,32.4,0,[aId3XS4AhcQ],[[0]],[[304]],[[581]],[0],[12082023],[30],[UCybykuc_xad-k0LMP6cY50g]
2372,Comblanchien,,France,FRA,Europe,47.10081,4.92122,0,655,67391582,5.1,0,172,42.4,32.4,0,[aId3XS4AhcQ],[[0]],[[10]],[[204]],[0],[12082023],[30],[UCybykuc_xad-k0LMP6cY50g]
2373,Saint-Apollinaire,,France,FRA,Europe,47.3340704,5.0821629,0,5211,67391582,5.1,0,172,42.4,32.4,0,[aId3XS4AhcQ],[[0]],[[837]],[[1018]],[0],[12082023],[30],[UCybykuc_xad-k0LMP6cY50g]
2374,Roquebrune-Cap-Martin,,France,FRA,Europe,43.7641047,7.4565697,0,11834,67391582,5.1,0,172,42.4,32.4,0,[IILuJo-AiYE],[[0]],[[769]],[[1728]],[0],[11122024],[30],[UCcwGwvM5iPB9IvtTnMTVcEg]
2375,Menton,,France,FRA,Europe,43.7753495,7.5029213,0,29649,67391582,5.1,0,172,42.4,32.4,0,[IILuJo-AiYE],[[0]],[[1729]],[[3732]],[0],[11122024],[30],[UCcwGwvM5iPB9IvtTnMTVcEg]
2376,Montegrosso Pian Latte,,Italy,ITA,Europe,44.0668887,7.817209,0,140,59554023,5.3,99,168,48.1,35.9,0,[IILuJo-AiYE],[[0]],[[4028]],[[4304]],[0],[11122024],[30],[UCcwGwvM5iPB9IvtTnMTVcEg]
2377,Ventimiglia,,Italy,ITA,Europe,43.7917623,7.6033131,0,24120,59554023,5.3,99,168,48.1,35.9,0,[IILuJo-AiYE],[[0]],[[4403]],[[5011]],[0],[11122024],[30],[UCcwGwvM5iPB9IvtTnMTVcEg]
2378,Bordighera,,Italy,ITA,Europe,43.7850512,7.6591094,0,10667,59554023,5.3,99,168,48.1,35.9,0,[IILuJo-AiYE],[[0]],[[5240]],[[5751]],[0],[11122024],[30],[UCcwGwvM5iPB9IvtTnMTVcEg]
2379,Ospedaletti,,Italy,ITA,Europe,43.8020802,7.7181662,0,2760,59554023,5.3,99,168,48.1,35.9,0,[IILuJo-AiYE],[[0]],[[5939]],[[6410]],[0],[11122024],[30],[UCcwGwvM5iPB9IvtTnMTVcEg]
2380,Sanremo,,Italy,ITA,Europe,43.8198253,7.7748827,0,47043,59554023,5.3,99,168,48.1,35.9,0,[IILuJo-AiYE],[[0]],[[6411]],[[7074]],[0],[11122024],[30],[UCcwGwvM5iPB9IvtTnMTVcEg]
2381,Séez,,France,FRA,Europe,48.603378,0.1734544,0,2139,67391582,5.1,0,172,42.4,32.4,0,[BCl_GWsDRpA],[[0]],[[52]],[[522]],[0],[06042025],[30],[UC12FUHVhwpC5lMYsMPMbmyg]
2382,La Thuile,,Italy,ITA,Europe,45.7162875,6.9486119,0,762,59554023,5.3,99,168,48.1,35.9,0,[BCl_GWsDRpA],[[0]],[[3649]],[[3828]],[0],[06042025],[30],[UC12FUHVhwpC5lMYsMPMbmyg]
2383,Courmayeur,,Italy,ITA,Europe,45.7874248,6.9730618,0,2794,59554023,5.3,99,168,48.1,35.9,0,[BCl_GWsDRpA],[[0]],[[4979]],[[5305]],[0],[06042025],[30],[UC12FUHVhwpC5lMYsMPMbmyg]
2384,Vic-le-Comte,,France,FRA,Europe,45.6433495,3.2433311,0,4590,67391582,5.1,0,172,42.4,32.4,0,[iPGyDh9ykIY],[[0]],[[0]],[[84]],[0],[07102019],[30],[UCjEIqRY_k_K63tlRhaOl2eA]
2385,Saint-Babel,,France,FRA,Europe,45.5973684,3.3003116,0,836,67391582,5.1,0,172,42.4,32.4,0,[iPGyDh9ykIY],[[0]],[[455]],[[600]],[0],[07102019],[30],[UCjEIqRY_k_K63tlRhaOl2eA]
2386,Sauxillanges,,France,FRA,Europe,45.5519544,3.3721049,0,1116,67391582,5.1,0,172,42.4,32.4,0,[iPGyDh9ykIY],[[0]],[[1077]],[[1202]],[0],[07102019],[30],[UCjEIqRY_k_K63tlRhaOl2eA]
2387,Lausanne,,Switzerland,CHE,Europe,46.5218269,6.6327025,0,139111,8654622,2.2,0,172,44,33.1,107.09,"[9DnPpfkuye8,6Vq5nFz1GqM,m9gziiUfY7U,sZ6SfzGtmJw,tPpt_f_KR5o,5xtDW2O7MbE]","[[0],[0],[0],[0],[0,0],[0]]","[[34],[48],[0],[8],[0,1332],[0]]","[[1634],[848],[3072],[671],[1271,2198],[175]]","[0,0,0,0,0,0]","[14102022,15112021,9112021,16082020,9052023,2082022]","[30,30,30,30,30,30]","[UCOwLcdeMxb5atlacD-B0sWQ,UCOwLcdeMxb5atlacD-B0sWQ,UCByMkXW0lK9LelnKe8hODhg,UC_NIn-5xAeAJhT-I84v-QLw,UCByMkXW0lK9LelnKe8hODhg,UCPSTneH32zcsfrcFFVts9OQ]"
2388,Saint-Prex,,Switzerland,CHE,Europe,46.4809059,6.4586004,0,4461,8654622,2.2,0,172,44,33.1,0,[6Vq5nFz1GqM],[[0]],[[925]],[[1329]],[0],[15112021],[30],[UCOwLcdeMxb5atlacD-B0sWQ]
2389,Rolle,,Switzerland,CHE,Europe,46.4601563,6.3380469,0,4425,8654622,2.2,0,172,44,33.1,0,[6Vq5nFz1GqM],[[0]],[[1580]],[[1903]],[0],[15112021],[30],[UCOwLcdeMxb5atlacD-B0sWQ]
2390,Allaman,,Switzerland,CHE,Europe,46.4707776,6.396174,0,451,8654622,2.2,0,172,44,33.1,25.93,[6Vq5nFz1GqM],[[0]],[[1389]],[[1579]],[0],[15112021],[30],[UCOwLcdeMxb5atlacD-B0sWQ]
2391,Gland,,Switzerland,CHE,Europe,46.4239425,6.2655115,0,10641,8654622,2.2,0,172,44,33.1,0,[6Vq5nFz1GqM],[[0]],[[2081]],[[2265]],[0],[15112021],[30],[UCOwLcdeMxb5atlacD-B0sWQ]
2392,Gouda,,Netherlands,NLD,Europe,52.0181194,4.7111221,0,71952,16655799,4,0,177,42.2,28.1,24.24,[7lqHVXzkX1U],[[0]],[[2548]],[[2617]],[0],[16022024],[30],[UCv82azuWXLXq4vHm30gYO6g]
2393,Rijswijk,,Netherlands,NLD,Europe,52.0373934,4.3225028,0,47299,16655799,4,0,177,42.2,28.1,23.33,"[bE1I6GiUW5U,e9OblQ3thQw]","[[0],[0,0]]","[[5],[5,1236]]","[[507],[505,1374]]","[0,0]","[16012025,12012025]","[30,30]","[UCSXSCzMyK5RZ9j1HbO9Fubg,UCSXSCzMyK5RZ9j1HbO9Fubg]"
2394,Den Hoorn,,Netherlands,NLD,Europe,53.025316,4.7527063,0,0,16655799,4,0,177,42.2,28.1,0,[e9OblQ3thQw],[[0]],[[2066]],[[2397]],[0],[12012025],[30],[UCSXSCzMyK5RZ9j1HbO9Fubg]
2395,Nunspeet,,Netherlands,NLD,Europe,52.3372909,5.7956364,0,19496,16655799,4,0,177,42.2,28.1,0,[-8XUr7yd-Xk],[[0]],[[5]],[[328]],[0],[06122023],[30],[UCv82azuWXLXq4vHm30gYO6g]
2396,Bleiswijk,,Netherlands,NLD,Europe,52.0109579,4.5310837,0,10549,16655799,4,0,177,42.2,28.1,26.87,[GSOMY9jAcPU],[[1]],[[5]],[[252]],[0],[14022022],[30],[UCv82azuWXLXq4vHm30gYO6g]
2397,Scheveningen,,Netherlands,NLD,Europe,52.1067449,4.2736937,0,23000,16655799,4,0,177,42.2,28.1,48.48,"[UylyraKdDtU,Shp9_cJA-Zw,25gaPMaqJhw]","[[0],[0],[0]]","[[0],[0],[0]]","[[1599],[1396],[1143]]","[0,0,0]","[24012025,16122024,28012025]","[30,30,30]","[UCSXSCzMyK5RZ9j1HbO9Fubg,UCSXSCzMyK5RZ9j1HbO9Fubg,UCSXSCzMyK5RZ9j1HbO9Fubg]"
2398,Kinderdijk,,Netherlands,NLD,Europe,51.8886955,4.6356972,0,867,16655799,4,0,177,42.2,28.1,0,[i7QR8hZBpmA],[[0]],[[1415]],[[1845]],[0],[30092023],[30],[UCzI1yDVTGGE3_75EOzTNKbA]
2399,Vogelbuurt,,Netherlands,NLD,Europe,52.3868908,4.9193351,0,0,16655799,4,0,177,42.2,28.1,0,[25gaPMaqJhw],[[0]],[[1240]],[[1795]],[0],[28012025],[30],[UCSXSCzMyK5RZ9j1HbO9Fubg]
2400,Versoix,,Switzerland,CHE,Europe,46.2773064,6.168962,0.0,11467,8654622,2.2,0.0,172.0,44.0,33.1,20.59,[6Vq5nFz1GqM],[[0]],[[3822]],[[4154]],[0],[15112021],[30],[UCOwLcdeMxb5atlacD-B0sWQ]
2401,Bellevue,,Switzerland,CHE,Europe,46.255,6.154317,0.0,3674,8654622,2.2,0.0,172.0,44.0,33.1,6.82,[6Vq5nFz1GqM],[[0]],[[4155]],[[4557]],[0],[15112021],[30],[UCOwLcdeMxb5atlacD-B0sWQ]
2402,Villette,,Switzerland,CHE,Europe,46.4944793,6.7094638,0.0,0,8654622,2.2,0.0,172.0,44.0,33.1,0.0,[sZ6SfzGtmJw],[[0]],[[672]],[[960]],[0],[16082020],[30],[UC_NIn-5xAeAJhT-I84v-QLw]
2403,Rivaz,,Switzerland,CHE,Europe,46.4762772,6.7786403,0.0,342,8654622,2.2,0.0,172.0,44.0,33.1,0.0,[sZ6SfzGtmJw],[[0]],[[1236]],[[1307]],[0],[16082020],[30],[UC_NIn-5xAeAJhT-I84v-QLw]
2404,Saint-Saphorin,,Switzerland,CHE,Europe,46.4731819,6.7959554,0.0,0,8654622,2.2,0.0,172.0,44.0,33.1,0.0,[sZ6SfzGtmJw],[[0]],[[1308]],[[1378]],[0],[16082020],[30],[UC_NIn-5xAeAJhT-I84v-QLw]
2405,Corseaux,,Switzerland,CHE,Europe,46.4722747,6.8320071,0.0,2282,8654622,2.2,0.0,172.0,44.0,33.1,0.0,[sZ6SfzGtmJw],[[0]],[[1456]],[[1649]],[0],[16082020],[30],[UC_NIn-5xAeAJhT-I84v-QLw]
2406,Vevey,,Switzerland,CHE,Europe,46.4602978,6.8418655,0.0,15812,8654622,2.2,0.0,172.0,44.0,33.1,0.0,"[sZ6SfzGtmJw,V8aUYl6C_Dw]","[[0], [0, 0, 0, 0]]","[[1650], [1098, 1235, 1494, 1636]]","[[1994], [1220, 1452, 1612, 1900]]","[0,0]","[16082020,21072023]","[30,30]","[UC_NIn-5xAeAJhT-I84v-QLw,UCVHnLBpdIhmjXt3mMoVFZMg]"
2407,La Tour-de-Peilz,,Switzerland,CHE,Europe,46.4537524,6.8569063,0.0,10522,8654622,2.2,0.0,172.0,44.0,33.1,42.42,[sZ6SfzGtmJw],[[0]],[[1995]],[[2250]],[0],[16082020],[30],[UC_NIn-5xAeAJhT-I84v-QLw]
2408,Montreux,,Switzerland,CHE,Europe,46.4310831,6.9129921,0.0,25984,8654622,2.2,0.0,172.0,44.0,33.1,0.0,"[sZ6SfzGtmJw,V8aUYl6C_Dw,5xtDW2O7MbE]","[[0], [0, 0], [0]]","[[2251], [1910, 2038], [1604]]","[[2955], [2007, 2270], [2199]]","[0,0,0]","[16082020,21072023,2082022]","[30,30,30]","[UC_NIn-5xAeAJhT-I84v-QLw,UCVHnLBpdIhmjXt3mMoVFZMg,UCPSTneH32zcsfrcFFVts9OQ]"
2409,Epesses,,Switzerland,CHE,Europe,46.4913262,6.7475919,0.0,332,8654622,2.2,0.0,172.0,44.0,33.1,0.0,[5xtDW2O7MbE],[[0]],[[518]],[[681]],[0],[02082022],[30],[UCPSTneH32zcsfrcFFVts9OQ]
